Tool;Scenario;Model;RunIndex;Iteration;PhaseName;MetricName;MetricValue
Fulib;scale_assay;4;0;9;Update;Time;177800
Fulib;scale_assay;4;0;9;Update;Memory;14680064
Fulib;scale_assay;4;0;10;Update;Time;181000
Fulib;scale_assay;4;0;10;Update;Memory;14680064
Fulib;scale_assay;4;0;11;Update;Time;92300
Fulib;scale_assay;4;0;11;Update;Memory;14680064
Fulib;scale_assay;4;0;12;Update;Time;183000
Fulib;scale_assay;4;0;12;Update;Memory;14680064
Fulib;scale_assay;4;0;13;Update;Time;175700
Fulib;scale_assay;4;0;13;Update;Memory;14680064
Fulib;scale_assay;4;0;14;Update;Time;101400
Fulib;scale_assay;4;0;14;Update;Memory;14680064
Fulib;scale_assay;4;0;15;Update;Time;288800
Fulib;scale_assay;4;0;15;Update;Memory;14680064
Fulib;scale_assay;4;0;16;Update;Time;176700
Fulib;scale_assay;4;0;16;Update;Memory;14680064
Fulib;scale_assay;4;0;17;Update;Time;166600
Fulib;scale_assay;4;0;17;Update;Memory;14680064
Fulib;scale_assay;4;0;18;Update;Time;169500
Fulib;scale_assay;4;0;18;Update;Memory;14680064
Fulib;scale_assay;4;0;19;Update;Time;79900
Fulib;scale_assay;4;0;19;Update;Memory;14680064
Fulib;scale_assay;4;0;20;Update;Time;180800
Fulib;scale_assay;4;0;20;Update;Memory;14680064
Fulib;scale_assay;8;0;0;Load;Time;2480800
Fulib;scale_assay;8;0;0;Load;Memory;10485760
Fulib;scale_assay;8;0;0;Initial;Time;1191400
Fulib;scale_assay;8;0;0;Initial;Memory;10485760
Fulib;scale_assay;8;0;1;Update;Time;456700
Fulib;scale_assay;8;0;1;Update;Memory;17825792
Fulib;scale_assay;8;0;2;Update;Time;292400
Fulib;scale_assay;8;0;2;Update;Memory;14680064
Fulib;scale_assay;8;0;3;Update;Time;137100
Fulib;scale_assay;8;0;3;Update;Memory;17825792
Fulib;scale_assay;8;0;4;Update;Time;499300
Fulib;scale_assay;8;0;4;Update;Memory;14680064
Fulib;scale_assay;8;0;5;Update;Time;413500
Fulib;scale_assay;8;0;5;Update;Memory;14680064
Fulib;scale_assay;8;0;6;Update;Time;135200
