Tool;Scenario;Model;RunIndex;Iteration;PhaseName;MetricName;MetricValue
Reference;scale_samples;256;0;10;Update;Elements;7045
Reference;scale_samples;256;0;10;Update;ActiveSamples;1964
Reference;scale_samples;256;0;11;Update;Elements;7036
Reference;scale_samples;256;0;11;Update;ActiveSamples;1955
Reference;scale_samples;256;0;12;Update;Elements;7026
Reference;scale_samples;256;0;12;Update;ActiveSamples;1946
Reference;scale_samples;256;0;13;Update;Elements;7015
Reference;scale_samples;256;0;13;Update;ActiveSamples;1939
Reference;scale_samples;512;0;0;Initialization;Time;249272900
Reference;scale_samples;512;0;0;Initialization;Memory;38006784
Reference;scale_samples;512;0;0;Load;Time;40999100
Reference;scale_samples;512;0;0;Load;Memory;42131456
Reference;scale_samples;512;0;0;Initial;Time;752952500
Reference;scale_samples;512;0;0;Initial;Memory;53399552
Reference;scale_samples;512;0;1;Update;Time;7728300
Reference;scale_samples;512;0;1;Update;Memory;57352192
Reference;scale_samples;512;0;2;Update;Time;407600
Reference;scale_samples;512;0;2;Update;Memory;58990592
Reference;scale_samples;512;0;3;Update;Time;419800
Reference;scale_samples;512;0;3;Update;Memory;60104704
Reference;scale_samples;512;0;4;Update;Time;430400
Reference;scale_samples;512;0;4;Update;Memory;64290816
Reference;scale_samples;512;0;5;Update;Time;249600
Reference;scale_samples;512;0;5;Update;Memory;65961984
Reference;scale_samples;512;0;6;Update;Time;115300
Reference;scale_samples;512;0;6;Update;Memory;66322432
Reference;scale_samples;512;0;7;Update;Time;368800
Reference;scale_samples;512;0;7;Update;Memory;69636096
Reference;scale_samples;512;0;8;Update;Time;220200
Reference;scale_samples;512;0;8;Update;Memory;69947392
Reference;scale_samples;512;0;9;Update;Time;115500
Reference;scale_samples;512;0;9;Update;Memory;70094848
Reference;scale_samples;512;0;10;Update;Time;376000
Reference;scale_samples;512;0;10;Update;Memory;70098944
Reference;scale_samples;512;0;11;Update;Time;202700
Reference;scale_samples;512;0;11;Update;Memory;70418432
Reference;scale_samples;512;0;12;Update;Time;221800
Reference;scale_samples;512;0;12;Update;Memory;70262784
Reference;scale_samples;512;0;13;Update;Time;411400
Reference;scale_samples;512;0;13;Update;Memory;68919296
Reference;scale_samples;512;0;14;Update;Time;158600
Reference;scale_samples;512;0;14;Update;Memory;68952064
